AssetID,AssetCode,Category,AssetType,Manufacturer,Model,InstallDate,Location,OperatingConditions,FailureModes,MaintenanceStrategy,LastMaintenance,MTBF_hours,Availability_pct,Latitude,Longitude
J7Q,HX-007,Heat Exchangers,Shell & Tube Exchanger,Alfalux,2-pass ShellTube (316SS),10/10/2010,Terminal A (OK),"Diesel fuel cooler, reduces 100°F to 80°F, 300 psi",Fin corrosion; Fan motor failure,Preventive (cleaning every 2yr),1/27/2019,"68,552",98.1,32.99375071,-101.5077943
9EW,HX-008,Heat Exchangers,Shell & Tube Exchanger,Alfalux,2-pass ShellTube (316SS),10/10/2010,Terminal A (OK),"Diesel fuel cooler, reduces 100°F to 80°F, 300 psi",Fin corrosion; Fan motor failure,Preventive (cleaning every 2yr),9/27/2021,"23,567",98.7,30.45604834,-101.4454399
LXC,HX-009,Heat Exchangers,Air Cooled Heat Exchanger,Alfalux,AL Air 4xR,7/7/2012,Pump Station 2 (OK),"Lube oil cooler, 180°F to 130°F, 50 psi oil circuit",Fin corrosion; Fan motor failure,Condition-based (temperature monitoring),6/14/2021,"79,256",96.1,31.75966488,-102.3157082
OQY,HX-015,Heat Exchangers,Shell & Tube Exchanger,Alfalux,1-pass U-tube Exchanger,6/6/2016,Station E (CO),"Engine jacket water cooler, 180°F to 140°F, 75 psi",Tube rupture; Fouling,Preventive (cleaning every 2yr),9/16/2019,"70,550",98.6,34.89664226,-99.03873126
C0O,HX-016,Heat Exchangers,Shell & Tube Exchanger,Alfalux,1-pass U-tube Exchanger,6/6/2016,Station E (CO),"Engine jacket water cooler, 180°F to 140°F, 75 psi",Fin corrosion; Fan motor failure,Condition-based (temperature monitoring),8/27/2018,"23,258",96.7,33.75543439,-101.4808186
36C,HX-017,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,10-fan Fin-Fan Cooler,7/22/2020,Pump Station 5 (CO),"Crude oil cooler, drops 120°F to 90°F before storage",Tube rupture; Fouling,Preventive (cleaning every 2yr),9/25/2023,"31,340",98.1,34.69009561,-99.37932249
I2T,HX-018,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,10-fan Fin-Fan Cooler,7/22/2020,Pump Station 5 (CO),"Crude oil cooler, drops 120°F to 90°F before storage",Fin corrosion; Fan motor failure,Preventive (cleaning every 2yr),5/23/2022,"59,440",96.2,34.88214324,-102.86486
9I5,HX-019,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,2-fan package,11/11/2014,Station C (IL),"Fuel gas cooler, 120°F to 80°F, 600 psi fuel gas",Tube leak; Vibration,Condition-based (temperature monitoring),5/4/2019,"59,891",96.8,33.34311926,-100.5893408
7E8,HX-020,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,2-fan package,11/11/2014,Station C (IL),"Fuel gas cooler, 120°F to 80°F, 600 psi fuel gas",Fin corrosion; Fan motor failure,Preventive (cleaning every 2yr),10/25/2020,"76,115",98.8,32.53985559,-98.28231201
ZF6,SEP-001,Separators & Filters,Horizontal Separator,Exterion,"""3-phase Sep 48""""×20'""",3/3/2010,Station A (TX),"Inlet separator (gas/condensate/water), 1000 psi, 50 MMSCFD",Internal corrosion; Erosion,Preventive (annual cleaning),6/21/2023,"81,735",99.1,32.60231663,-100.4892467
0AV,SEP-002,Separators & Filters,Horizontal Separator,Exterion,"""3-phase Sep 48""""×20'""",3/3/2010,Station A (TX),"Inlet separator (gas/condensate/water), 1000 psi, 50 MMSCFD",Slug carryover; Erosion,Preventive (annual cleaning),9/14/2019,"39,696",99.3,32.41070823,-102.134079
4G2,SEP-003,Separators & Filters,Slug Catcher (Finger),Custom (Fabricated),Finger-type 5 fingers,5/5/2005,Gas Plant (LA),"Slug catcher for wet gas, 900 psi, handles slug volumes",Level control failure; Corrosion,Condition-based (pressure drop monitoring),9/18/2019,"97,259",99.1,31.50679869,-97.98297135
L6Q,SEP-004,Separators & Filters,Slug Catcher (Finger),Custom (Fabricated),Finger-type 5 fingers,5/5/2005,Gas Plant (LA),"Slug catcher for wet gas, 900 psi, handles slug volumes",Internal corrosion; Erosion,Preventive (annual cleaning),11/27/2022,"71,156",98.6,32.34696166,-103.0254621
CN5,SEP-007,Separators & Filters,Filter Separator,PECO Facet,"""Skid Filter 24"""" dual""",8/8/2018,Station D (LA),"Fuel gas filter (dual), 600 psi, high-efficiency",Internal corrosion; Erosion,Condition-based (pressure drop monitoring),1/7/2020,"83,292",98.6,34.43304576,-98.75987356
Y7P,SEP-008,Separators & Filters,Filter Separator,PECO Facet,"""Skid Filter 24"""" dual""",8/8/2018,Station D (LA),"Fuel gas filter (dual), 600 psi, high-efficiency",Slug carryover; Erosion,Preventive (annual cleaning),12/28/2022,"38,483",99.1,32.49446482,-99.63656745
SXK,SEP-010,Separators & Filters,Vertical Scrubber,Camerton,"""30""""×10' KO Drum""",2/2/2000,Station C (IL),"Compressor suction scrubber, 1200 psi, removes liquids",Internal corrosion; Erosion,Preventive (annual cleaning),6/21/2019,"88,908",99.2,30.61087071,-99.73112957
7PU,SEP-013,Separators & Filters,Filter-Coalescer,Pallen Systems,"""20"""" Coalescing Filter""",12/12/2012,Terminal C (LA),"NGL filter-coalescer, 300 psi, removes entrained liquids",Level control failure; Corrosion,Preventive (annual cleaning),4/25/2018,"48,222",99.5,30.62073495,-98.32446045
0OJ,SEP-014,Separators & Filters,Filter-Coalescer,Pallen Systems,"""20"""" Coalescing Filter""",12/12/2012,Terminal C (LA),"NGL filter-coalescer, 300 psi, removes entrained liquids",Internal corrosion; Erosion,Preventive (annual cleaning),11/4/2023,"68,943",99.0,32.02059216,-98.93714433
H46,SEP-015,Separators & Filters,Horizontal Separator,Schlumberger,"""2-phase Sep 36""""×15'""",8/8/2008,Station E (CO),"Gas-liquid separator, 1000 psi, protects meters",Level control failure; Corrosion,Preventive (annual cleaning),10/12/2020,"51,678",98.7,32.61531478,-103.7958819
YKE,SEP-016,Separators & Filters,Horizontal Separator,Schlumberger,"""2-phase Sep 36""""×15'""",8/8/2008,Station E (CO),"Gas-liquid separator, 1000 psi, protects meters",Internal corrosion; Erosion,Preventive (annual cleaning),8/20/2023,"95,531",98.2,31.855857,-102.7717315
PTV,SEP-017,Separators & Filters,Vertical Filter,PECO Facet,"Cartridge filter 12""""",4/4/2016,Station F (PA),"Lube oil filter vessel, 100 psi, 5-micron cartridges",Slug carryover; Erosion,Preventive (annual cleaning),1/8/2022,"98,052",97.6,33.70559187,-99.66411064
AIT,SEP-018,Separators & Filters,Vertical Filter,PECO Facet,"Cartridge filter 12""""",4/4/2016,Station F (PA),"Lube oil filter vessel, 100 psi, 5-micron cartridges",Level control failure; Corrosion,Condition-based (pressure drop monitoring),10/24/2019,"80,262",98.9,30.0661106,-101.553944
5XI,SEP-019,Separators & Filters,Slug Catcher (Finger),Custom (Fabricated),Finger-type 8 fingers,10/10/2020,Gas Hub (TX),"Large slug catcher, 1000 psi, protects downstream plant",Level control failure; Corrosion,Condition-based (pressure drop monitoring),12/5/2020,"68,506",98.7,30.71263841,-98.01120097
R4B,SEP-020,Separators & Filters,Slug Catcher (Finger),Custom (Fabricated),Finger-type 8 fingers,10/10/2020,Gas Hub (TX),"Large slug catcher, 1000 psi, protects downstream plant",Slug carryover; Erosion,Preventive (annual cleaning),1/9/2021,"32,973",99.2,30.12096396,-101.5643545
191,DRIVE-016,Prime Movers,Electric Motor,GEX Motors,4160V Induction (800 hp),4/14/2014,Terminal B (IL),"Electric motor drive for pump PUMP-009/010, 4160 V, 0-60 Hz VFD",Bearing failure; Overheat,Preventive (annual tune-up),2/22/2023,"13,417",96.3,33.7477655,-103.2849476
P4P,DRIVE-017,Prime Movers,Electric Motor,GEX Motors,4160V Induction (800 hp),4/14/2014,Terminal B (IL),"Electric motor drive for pump PUMP-009/010, 4160 V, 0-60 Hz VFD",Bearing failure; Overheat,Condition-based (monitor vibrations),10/4/2020,"14,382",97.8,34.6199745,-97.11145142
BEE,DRIVE-018,Prime Movers,Electric Motor,Simmons,480V Induction (200 hp),11/5/2018,Terminal C (LA),"Electric motor for mixer, 480 V, 3-phase, DOL start",Bearing failure; Overheat,Preventive (annual tune-up),7/24/2021,"11,020",97.0,32.01390471,-103.6894365
991,DRIVE-019,Prime Movers,Electric Motor,Simmons,480V Induction (200 hp),11/5/2018,Terminal C (LA),"Electric motor for mixer, 480 V, 3-phase, DOL start",Bearing failure; Overheat,Preventive (annual tune-up),9/6/2020,"12,720",96.7,31.45255909,-102.6155549
R1Q,DRIVE-020,Prime Movers,Electric Motor,Baldor,480V ExplosionProof (50 hp),3/18/2003,Station D (LA),"Electric motor for aux pump, 480 V, exp-proof, 1800 rpm",Fuel system failure; Controller fault,Condition-based (monitor vibrations),2/23/2023,"9,264",97.4,31.61907891,-98.00443561
ECG,MTR-001,Flow Meters,Orifice Flow Meter (Gas),Emerton (Daniels),"""Orifice 36"""" Meter Run""",5/5/1998,Station A (TX),"Natural gas, 36-inch, 1200 psi, ~100 MMSCFD",Sensor fault; Calibration drift,Preventive (annual calibration),8/12/2022,"26,207",99.6,30.94687142,-98.41163412
I91,MTR-002,Flow Meters,Orifice Flow Meter (Gas),Emerton (Daniels),"""Orifice 24"""" Meter Run""",4/10/1990,Station C (IL),"Natural gas, 24-inch, 900 psi, ~60 MMSCFD",Impulse line clog; Sensor drift,Preventive (annual calibration),3/24/2019,"23,892",98.9,31.58825308,-100.5877897
5VL,MTR-004,Flow Meters,Orifice Flow Meter (Gas),Emerton (Daniels),"""Orifice 8"""" Meter Run""",1/8/2005,Station D (LA),"Natural gas, 8-inch, 600 psi, ~10 MMSCFD",Sensor fault; Calibration drift,Preventive (annual calibration),4/19/2020,"24,980",99.8,34.34241176,-100.4093571
ABS,MTR-005,Flow Meters,Orifice Flow Meter (Gas),Emerton (Daniels),"""Orifice 30"""" Meter Run""",9/21/1996,Station F (PA),"Natural gas, 30-inch, 1000 psi, ~800 MMSCFD",Impulse line clog; Sensor drift,Preventive (annual calibration),8/7/2022,"23,483",98.8,32.2819647,-103.2241845
L46,MTR-007,Flow Meters,Ultrasonic Flow Meter (Gas),Emerton (Daniels),Daniels Ultrasonic 3410,12/2/2015,Station E (CO),"Natural gas, 30-inch, 1000 psi, ~800 MMSCFD",Sensor fault; Calibration drift,Preventive (annual calibration),11/1/2019,"21,775",98.5,30.75848601,-103.8749404
PH2,MTR-008,Flow Meters,Ultrasonic Flow Meter (Gas),Honeyton (Elster),Elster Q.Sonic 5,3/19/2018,Station A (TX),"Natural gas, 20-inch, 800 psi, ~50 MMSCFD",Electronics failure; Fouling,Run-to-failure with spares,8/9/2023,"29,510",98.6,33.13764091,-102.4705235
YG1,MTR-009,Flow Meters,Ultrasonic Flow Meter (Gas),SICK,FLOWSIC600,11/17/2014,Gas Plant (LA),"Natural gas, 12-inch, 600 psi, ~15 MMSCFD",Sensor fault; Calibration drift,Preventive (annual calibration),1/17/2018,"13,172",98.8,33.69957711,-100.505848
L9C,MTR-010,Flow Meters,Ultrasonic Flow Meter (Gas),Emerton (Daniels),Daniels Ultrasonic 3410,4/27/2020,Station D (LA),"Natural gas, 36-inch, 1200 psi, ~900 MMSCFD",Electronics failure; Fouling,Run-to-failure with spares,8/20/2020,"40,879",99.4,33.03777755,-103.6476187
5YE,MTR-012,Flow Meters,Turbine Flow Meter (Liquid),Camerton,NuFlo 12,5/24/2005,Terminal B (IL),"Crude oil, 12-inch, 800 psi, 100k bbl/day",Electronics failure; Fouling,Run-to-failure with spares,12/24/2023,"43,552",98.9,31.06192664,-98.69958764
LK4,MTR-013,Flow Meters,Turbine Flow Meter (Liquid),FMC (Smith),Smith TM-6,3/14/1995,Pump Station 3 (IL),"Gasoline, 6-inch, 300 psi, 30k bbl/day",Sensor fault; Calibration drift,Preventive (annual calibration),2/15/2021,"58,204",99.5,32.92384528,-103.5638931
0OA,MTR-014,Flow Meters,Turbine Flow Meter (Liquid),FMC (Smith),Smith TM-6,10/2/1995,Pump Station 4 (KS),"Diesel, 6-inch, 300 psi, 25k bbl/day",Sensor fault; Calibration drift,Preventive (annual calibration),4/4/2019,"56,013",99.1,33.10932929,-102.6505271
H5P,MTR-015,Flow Meters,Turbine Flow Meter (Liquid),KROHNE,Altosonic III,10/28/2010,Terminal C (LA),"Naphtha, 8-inch, 600 psi, 30k bbl/day",Electronics failure; Fouling,Preventive (annual calibration),2/23/2020,"63,198",98.3,34.83382155,-100.2713288
C6U,MTR-017,Flow Meters,Coriolis Flow Meter (Liquid),Emerton (MicroMotion),CMF300X,12/27/2016,Terminal C (LA),"Crude oil, 8-inch, 500 psi, 80k bbl/day",Sensor fault; Calibration drift,Run-to-failure with spares,1/24/2020,"48,980",99.6,34.61619344,-102.5540258
2IR,MTR-018,Flow Meters,Coriolis Flow Meter (Liquid),Endress+Hauser,Promass 200,8/21/2018,Terminal B (IL),"Jet fuel, 4-inch, 250 psi, 10k bbl/day",Electronics failure; Fouling,Run-to-failure with spares,3/15/2020,"17,589",99.8,30.28375835,-102.238049
BAB,MTR-019,Flow Meters,Coriolis Flow Meter (Liquid),Endress+Hauser,Promass 200,11/3/2018,Pump Station 6 (TN),"Propane, 6-inch, 150 psi, 20k bbl/day",Electronics failure; Fouling,Run-to-failure with spares,9/27/2023,"28,971",99.0,30.30762222,-100.6326601
GU7,PUMP-004,Pumps,Centrifugal Pump,FlowTech,Mark 3 (API 610),9/10/2005,Pump Station 1 (TX),"Refined product, 300 gpm @ 600 psi, 90°F",Impeller damage; Seal leak,Condition-based (vibration monitoring),3/10/2023,"12,795",96.4,34.3128487,-101.1712283
I1G,PUMP-018,Pumps,Centrifugal Pump,FlowTech,HPX-600 (BB3),7/22/2020,Pump Station 5 (CO),"Crude oil, 1200 gpm @ 1500 psi, 105°F (mainline)",Seal leak; Bearing wear,Condition-based (vibration monitoring),1/17/2023,"17,631",99.7,32.39047962,-100.281999
YGD,PUMP-019,Pumps,Centrifugal Pump,Sulzer,ZA40 (BB2),4/14/2011,Pump Station 5 (CO),"Crude oil, 900 gpm @ 1100 psi, 100°F",Bearing failure; Coupling misalignment,Condition-based (vibration monitoring),1/14/2020,"14,184",97.9,34.14364479,-102.8594905
WJQ,PUMP-022,Pumps,Centrifugal Pump,FlowTech,WXH-300 (VS6),6/30/2006,Terminal B (IL),"Jet fuel, 250 gpm @ 250 psi, 70°F (loading)",Impeller damage; Seal leak,Condition-based (vibration monitoring),3/12/2018,"13,847",98.0,34.24838304,-97.8822966
X9C,PUMP-027,Pumps,Centrifugal Pump,Sulzer,SJD (VS1),11/11/2014,Pump Station 3 (IL),"Crude oil, 600 gpm @ 800 psi, 90°F (booster)",Seal leak; Bearing wear,Condition-based (vibration monitoring),11/22/2018,"11,380",96.6,34.84833985,-100.366137
ZSS,PUMP-001,Pumps,Centrifugal Pump,FlowTech,HHT-500 (8x10),4/20/2010,Pump Station 1 (TX),"Crude oil, ~500 gpm @ 900 psi, 85°F (mainline booster)",Impeller damage; Seal leak,Preventive (annual overhaul),9/2/2023,"17,913",97.5,33.62601064,-98.82968625
8V5,PUMP-003,Pumps,Centrifugal Pump,FlowTech,Mark 3 (API 610),9/10/2005,Pump Station 1 (TX),"Refined product, 300 gpm @ 600 psi, 90°F",Impeller damage; Seal leak,Preventive (annual overhaul),12/24/2021,"19,865",98.4,33.15540851,-102.1535473
KK2,PUMP-006,Pumps,Centrifugal Pump,Sulzer,MSD-7 (10-stage),1/15/2018,Pump Station 2 (OK),"Crude oil, 1000 gpm @ 1200 psi, 100°F (mainline)",Bearing failure; Coupling misalignment,Preventive (annual overhaul),6/27/2021,"9,290",97.7,34.66674002,-102.447911
4IF,PUMP-009,Pumps,Centrifugal Pump,ITT Goulds,3700 (API 610 BB2),3/30/2000,Pump Station 3 (IL),"Diesel fuel, 600 gpm @ 800 psi, 80°F",Impeller damage; Seal leak,Preventive (annual overhaul),4/13/2023,"14,837",98.2,33.86085464,-97.54595223
K6W,PUMP-011,Pumps,Centrifugal Pump,ITT Goulds,3600 (OH2),12/1/1995,Terminal A (OK),"Gasoline, 400 gpm @ 300 psi, 70°F (loading pump)",Impeller damage; Seal leak,Preventive (annual overhaul),3/8/2022,"10,649",97.9,31.12839959,-101.2428703
178,PUMP-012,Pumps,Centrifugal Pump,ITT Goulds,3600 (OH2),12/1/1995,Terminal A (OK),"Gasoline, 400 gpm @ 300 psi, 70°F (loading pump)",Bearing failure; Coupling misalignment,Preventive (annual overhaul),7/14/2023,"9,584",96.8,33.70399764,-100.0736555
S15,PUMP-015,Pumps,Centrifugal Pump,KSB,RPH (BB1),8/8/2008,Pump Station 4 (KS),"Naphtha, 450 gpm @ 500 psi, 90°F",Impeller damage; Seal leak,Preventive (annual overhaul),12/5/2021,"19,667",99.6,34.40349571,-103.7000048
FFK,PUMP-016,Pumps,Centrifugal Pump,KSB,RPH (BB1),8/8/2008,Pump Station 4 (KS),"Naphtha, 450 gpm @ 500 psi, 90°F",Bearing failure; Coupling misalignment,Preventive (annual overhaul),12/17/2020,"8,371",96.8,30.8435477,-97.28072069
UZE,PUMP-020,Pumps,Centrifugal Pump,Sulzer,ZA40 (BB2),4/14/2011,Pump Station 5 (CO),"Crude oil, 900 gpm @ 1100 psi, 100°F",Bearing failure; Coupling misalignment,Preventive (annual overhaul),5/19/2023,"8,134",96.4,34.81344696,-99.89373103
4IH,PUMP-024,Pumps,Centrifugal Pump,FlowTech,UZDL (multistage),9/1/2017,Pump Station 6 (TN),"Propane, 200 gpm @ 150 psi, 60°F (refrigerated)",Bearing failure; Coupling misalignment,Preventive (annual overhaul),7/15/2020,"19,786",99.2,34.20755343,-98.53659456
PNS,PUMP-025,Pumps,Centrifugal Pump,ITT Goulds,1100 (OH1),5/5/1998,Terminal C (LA),"Gasoline, 200 gpm @ 200 psi, 75°F",Impeller damage; Seal leak,Preventive (annual overhaul),7/5/2020,"12,935",99.3,30.32669739,-101.554714
X6J,PUMP-028,Pumps,Centrifugal Pump,Sulzer,SJD (VS1),11/11/2014,Pump Station 3 (IL),"Crude oil, 600 gpm @ 800 psi, 90°F (booster)",Impeller damage; Seal leak,Preventive (annual overhaul),2/14/2019,"11,259",98.2,33.08568176,-100.3956059
0VA,PUMP-002,Pumps,Centrifugal Pump,FlowTech,HHT-500 (8x10),4/20/2010,Pump Station 1 (TX),"Crude oil, ~500 gpm @ 900 psi, 85°F (mainline booster)",Seal leak; Bearing wear,Preventive (annual overhaul),5/14/2019,"19,956",96.9,32.69761428,-103.3384474
7L7,PUMP-005,Pumps,Centrifugal Pump,Sulzer,MSD-7 (10-stage),1/15/2018,Pump Station 2 (OK),"Crude oil, 1000 gpm @ 1200 psi, 100°F (mainline)",Seal leak; Bearing wear,Preventive (annual overhaul),2/8/2022,"14,068",98.0,34.2631296,-99.43397167
3ZJ,PUMP-007,Pumps,Centrifugal Pump,Sulzer,HPP-400 (6-stage),7/7/2012,Pump Station 2 (OK),"Crude oil, 800 gpm @ 1000 psi, 95°F",Seal leak; Bearing wear,Preventive (annual overhaul),8/22/2020,"12,518",96.5,31.40333835,-99.97181813
P2D,PUMP-008,Pumps,Centrifugal Pump,Sulzer,HPP-400 (6-stage),7/7/2012,Pump Station 2 (OK),"Crude oil, 800 gpm @ 1000 psi, 95°F",Seal leak; Bearing wear,Preventive (annual overhaul),1/22/2022,"15,546",97.1,34.36983508,-101.380029
GGG,PUMP-010,Pumps,Centrifugal Pump,ITT Goulds,3700 (API 610 BB2),3/30/2000,Pump Station 3 (IL),"Diesel fuel, 600 gpm @ 800 psi, 80°F",Seal leak; Bearing wear,Preventive (annual overhaul),6/13/2020,"14,572",96.9,33.37096054,-101.5685412
OHW,PUMP-017,Pumps,Centrifugal Pump,FlowTech,HPX-600 (BB3),7/22/2020,Pump Station 5 (CO),"Crude oil, 1200 gpm @ 1500 psi, 105°F (mainline)",Seal leak; Bearing wear,Preventive (annual overhaul),6/21/2021,"13,212",96.8,34.71709982,-103.2558743
3Z5,PUMP-021,Pumps,Centrifugal Pump,FlowTech,WXH-300 (VS6),6/30/2006,Terminal B (IL),"Jet fuel, 250 gpm @ 250 psi, 70°F (loading)",Seal leak; Bearing wear,Preventive (annual overhaul),12/16/2019,"15,604",98.7,34.05372972,-100.1361018
BLU,PUMP-023,Pumps,Centrifugal Pump,FlowTech,UZDL (multistage),9/1/2017,Pump Station 6 (TN),"Propane, 200 gpm @ 150 psi, 60°F (refrigerated)",Seal leak; Bearing wear,Preventive (annual overhaul),6/28/2023,"19,447",96.3,32.05695754,-102.2970908
MG1,PUMP-026,Pumps,Centrifugal Pump,ITT Goulds,1100 (OH1),5/5/1998,Terminal C (LA),"Gasoline, 200 gpm @ 200 psi, 75°F",Seal leak; Bearing wear,Preventive (annual overhaul),3/2/2021,"10,076",98.3,31.98349477,-101.6979639
5HS,PUMP-029,Pumps,Centrifugal Pump,FlowTech,HWMA (OH2),3/18/2003,Terminal B (IL),"Diesel, 150 gpm @ 150 psi, ambient",Seal leak; Bearing wear,Preventive (annual overhaul),3/27/2021,"19,153",99.0,33.52732304,-97.9967948
W2O,PUMP-030,Pumps,Centrifugal Pump,FlowTech,HWMA (OH2),3/18/2003,Terminal B (IL),"Diesel, 150 gpm @ 150 psi, ambient",Seal leak; Bearing wear,Preventive (annual overhaul),4/11/2018,"19,172",97.5,33.13613132,-100.4764814
